IO No.,Type,Customer,Due Date,IO date,A-ES,ATD,Supplier Invoice,ATA LG,ATA PU,ATA,AS Received,QC LG,QC PU,QC Receive,QC Stock,QC AS,QC REQ,QC,TRA,Price,Invoice Date,Stock For Sale,PO Receive date,App,IO Type,ATD,PO Due Date,Province,IO Ready
1065-22,Q,"Thai Glycerine Co.,Ltd.",21/2/2022,17/2/2022,,,,,,,,,,28/2/2022,28/2/2022,,,28/2/2022,21/2/2022,"10,000",21/2/2022,S-S,17/02/2022,NP,S-S,,21/02/2022,สมุทรสาคร,
1066-22,I,"Bangchak Bioethanol Co,. Ltd",15/3/2022,17/2/2022,,28/2/2022,,,,,,,,15/3/2022,15/3/2022,,,15/3/2022,15/3/2022,"217,000",15/3/2022,,17/02/2022,NP,A-S,28/2/2022,15/03/2022,ฉะเชิงเทรา,
1067-22,I,Double A (1991) Public Company Limited,16/6/2022,17/2/2022,,9/5/2022,,,,,,,,,,,,,2/6/2022,"236,000",2/6/2022,,15/02/2022,UL,A-S,9/5/2022,16/06/2022,ปราจีนบุรี,18/02/2022
1068-22,I,Double A (1991) Public Company Limited,16/6/2022,17/2/2022,,22/3/2022,,,,,,,,,,,,,2/6/2022,"69,700",2/6/2022,,15/02/2022,UL,A-S,22/3/2022,16/06/2022,ปราจีนบุรี,
1069-22,I,Patum Vegetable Oil Company Limited,18/3/2022,18/2/2022,,,,,,,,,,18/2/2022,18/2/2022,,,18/2/2022,2/3/2022,"11,000",2/3/2022,S-S,18/02/2022,NP,S-S,,18/03/2022,ปทุมธานี,
1070-22,I,"Thai Paper Co., Ltd. ( Ban Pong )",13/5/2022,18/2/2022,,8/4/2022,,,,,,,,,,,,,5/5/2022,"3,080",5/5/2022,,16/02/2022,UL,A-S,8/4/2022,29/03/2022,ราชบุรี,18/02/2022
1071-22,I,"AGC Chemicals (Thailand) Co., Ltd.",7/6/2022,21/2/2022,,,,,,,,,,,,,,,7/6/2022,"82,000",7/6/2022,,18/02/2022,MO,L-S,,18/03/2022,สมุทรปราการ,21/02/2022
1072-22,I,SOUTHEAST ASIAN PACKAGING AND CANNING LTD.,11/3/2022,21/2/2022,,,,,,,,,,,,,,,2/3/2022,"26,000",2/3/2022,,18/02/2022,MO,L-S,,11/03/2022,สมุทรปราการ,
1073-22,I,"Siam Kraft Industry Co., Ltd ( Wang-Sala )",23/5/2022,22/2/2022,,8/4/2022,,,,,,,,22/4/2022,22/4/2022,,,22/4/2022,27/4/2022,"57,000",27/4/2022,,22/02/2022,UL,A-S,8/4/2022,23/05/2022,กาญจนบุรี,22/02/2022
1074-22,I,Thai Plastic and Chemicals Public Company Limited ( Rayong ),15/6/2022,22/2/2022,,30/5/2023,,,,,,,,,,,,,8/7/2022,"87,869",8/7/2022,,22/02/2022,UL,A-S,30/5/2023,15/06/2022,ระยอง,
